init_state,Value
  xo xxo ,1
   oxxoox,1
xxo o  x ,-1
xxo o  xo,-1
xo    xox,-1
xo   ox x,1
xo  oox x,1
 o xxo xo,0
 o xxoxxo,-1
 o  xooxx,1
 ox xooxx,0
 xoo xx o,0
 xooxxx o,0
x xxoooox,1
 xo ox xo,-1
 xo oxxxo,-1
  oo  x x,1
  o  x  x,-1
  o ox  x,0
 o xxoox ,0
x oo  x  ,1
x oox x  ,0
 x  oox  ,0
xx  oox  ,-1
xoo xxx o,0
xoooxxx o,0
   o oxx ,1
 xoo x  x,-1
oxoo x  x,0
o ox xox ,1
o oxxxox ,1
 o xoo xx,1
xo xoo xx,0
  oxo   x,1
o oox  xx,1
  oox  x ,1
x oox  x ,1
  oxo xxo,1
 x x   oo,1
 xxx   oo,-1
 xx  x oo,-1
oxx  x oo,-1
x oox  xo,1
 ooxo x x,1
  oxx  ox,1
 ooxx  ox,1
 o oxox x,1
 o oxoxxx,1
oxo  oxx ,1
  ox  xxo,-1
xxx o oox,1
 x    o  ,1
 x    ox ,-1
 o    xxo,0
x   x o o,0
x x x o o,-1
     xo x,1
     xoox,1
x  x oo  ,0
xx x oo  ,-1
x    oxxo,-1
oxx   o  ,-1
oxx   o x,-1
x ooxx   ,0
x ooxx o ,1
x  x xooo,-1
oxx o o x,1
oxx o oxx,-1
o xo  xxo,1
o xox xxo,1
 x  oooxx,-1
oxxooxox ,-1
o xo  xox,1
oxxo  xox,1
ox  x o x,-1
ox  xoo x,1
x ox o  x,1
x oxoo  x,1
x      ox,0
x     oox,1
x oo xoxx,-1
x oooxoxx,-1
xx xo oxo,-1
xxoxo oxo,-1
     x   ,0
x o      ,1
x o     x,1
 oxo oxx ,1
 oxo oxxx,1
 ox  x xo,0
 oxo x xo,0
oo   x xx,-1
xoox o xx,1
xooxoo xx,1
o  xxx  o,1
 ox   xxo,0
o xo   xx,-1
ooxo   xx,1
 x  xoxoo,1
xx  xoxoo,-1
xox o o x,1
xox oxo x,1
    ox x ,0
 o  ox x ,1
xox    xo,0
xox o  xo,0
x   ox   ,0
x   oxo  ,1
o    x x ,-1
  o xox  ,1
x  oo  x ,0
x xoo  x ,-1
x   o oxx,-1
x o o oxx,-1
 x x oo  ,0
 xxx oo  ,0
x x     o,1
 o  x o x,1
x  oo oxx,-1
 x ox xoo,1
 xxox xoo,1
o x     x,1
ox oxoxox,1
x   o  ox,0
xx   xoo ,-1
xx   xooo,-1
xxoxo   o,1
xxoxo  xo,-1
ox xxoxoo,1
 x  oxoox,1
 xo ox  x,-1
xx o    o,1
xx o  x o,0
  x     o,1
  x   x o,1
       x ,0
    ox  x,0
   oox  x,1
   oxo x ,1
x  oxo x ,1
xxooxx o ,0
xxooxxoo ,1
    xox o,1
xxo     o,-1
xxox    o,-1
xoox  ox ,1
xooxx ox ,1
    oox x,1
  x oox x,-1
  oox  xx,1
xxo  x o ,-1
xxo  xoo ,-1
 xox ox  ,-1
 o oxxxo ,1
 o oxxxox,1
ox x   ox,0
 xxxoxoo ,-1
oxxxoxoo ,1
xxxo oo x,1
x xo ox o,1
x xoxox o,1
 xo  o xx,1
 xoo o xx,1
x  xxoo o,-1
x xxxoo o,-1
xx   ooxo,1
xx x ooxo,-1
